mean,mean_se,mean_ci_lower,mean_ci_upper,Country,Year-Month
259.2694173923826,28.297569191105648,203.8072009277853,314.7316338569799,South Korea,2025-07
215.75699456601362,28.297974811681954,160.29398309969537,271.22000603233187,South Korea,2025-08
284.7830017056702,28.29838045291647,229.31919519714165,340.2468082141987,South Korea,2025-09
431.0774089339978,28.298787615765765,375.6128044009488,486.5420134670468,South Korea,2025-10
438.59969761399816,28.299282898217815,383.13412234518097,494.06527288281535,South Korea,2025-11
401.8112530085316,28.304857519211495,346.33475168333933,457.28775433372385,South Korea,2025-12
359.8595750300568,10.759631091517942,338.77108560374427,380.94806445636937,Spain,2025-01
361.61888503970226,10.767076797990253,340.51580229686454,382.72196778254,Spain,2025-02
230.75756215732264,10.767611156119482,209.65343209179676,251.86169222284852,Spain,2025-03
271.1713537815988,10.767693409599323,250.0670625022148,292.27564506098275,Spain,2025-04
291.92480924145514,10.767721937272462,270.82046204885927,313.029156434051,Spain,2025-05
118.1586159718319,10.767743005616525,97.05422748604045,139.26300445762337,Spain,2025-06
245.9731905425282,10.767763074932185,224.86876272160083,267.07761836345554,Spain,2025-07
258.1687036068213,10.767783452573655,237.06423584645057,279.273171367192,Spain,2025-08
402.77089669990227,10.767807014354139,381.6663827592904,423.87541064051413,Spain,2025-09
396.408748000844,10.767852463808255,375.30414498093893,417.5133510207491,Spain,2025-10
318.4280443913997,10.76802714671691,297.3230989992849,339.53298978351444,Spain,2025-11
470.8102517483688,10.767957473694725,449.7054429128682,491.9150605838694,Spain,2025-12
100.47954764251072,20.755286717511467,59.79993318738569,141.15916209763577,Thailand,2025-01
123.82959585002213,20.858974126597143,82.9467578074389,164.71243389260536,Thailand,2025-02
89.6436857352867,20.86303592207878,48.75288671984689,130.5344847507265,Thailand,2025-03
85.77294647365895,20.863228516628233,44.881769979838595,126.6641229674793,Thailand,2025-04
101.77424235657337,20.86323782085932,60.883047626795175,142.66543708635157,Thailand,2025-05
75.3168707489379,20.86323834926237,34.42567498350876,116.20806651436703,Thailand,2025-06
94.03576922057655,20.863238456024717,53.144573245897064,134.92696519525606,Thailand,2025-07
78.37028335026756,20.863238516759623,37.47908725654984,119.26147944398528,Thailand,2025-08
116.70053466127409,20.863238040120105,75.80933950175266,157.59172982079554,Thailand,2025-09
136.70026607671846,20.86322644878159,95.80909363580307,177.59143851763386,Thailand,2025-10
130.25065519384648,20.862984408445584,89.35995714327245,171.14135324442051,Thailand,2025-11
118.45437960010095,20.857900545728878,77.57364573735401,159.3351134628479,Thailand,2025-12
214.51123406415513,10.580814305319453,193.7732190986228,235.24924902968746,Turkey,2025-01
211.4773720833432,10.619152889432241,190.66421487373157,232.29052929295483,Turkey,2025-02
110.81826114878729,10.626573265828554,89.99056026868713,131.64596202888742,Turkey,2025-03
168.46809651147353,10.629835607583015,147.63400155902937,189.3021914639177,Turkey,2025-04
141.3264500922336,10.632278161125209,120.48756782281646,162.16533236165077,Turkey,2025-05
26.29326659828473,10.634523409061787,5.449983723775514,47.136549472793945,Turkey,2025-06
140.04048452298827,10.63671807019494,119.19290019169979,160.88806885427672,Turkey,2025-07
163.03949495629757,10.638900998370497,142.18763216440416,183.89135774819098,Turkey,2025-08
259.71320702862295,10.641086726966696,238.85706028740103,280.5693537698449,Turkey,2025-09
227.23152482654854,10.643284508121294,206.3710705134177,248.09197913967938,Turkey,2025-10
148.64497005299037,10.645358944334804,127.78044991959283,169.50949018638792,Turkey,2025-11
213.44077239317727,10.644485999695435,192.5779631998334,234.30358158652115,Turkey,2025-12
57.14305648461862,13.459785306704385,30.76236204383662,83.52375092540062,UAE,2025-01
45.522598531941206,13.4469288656266,19.167102252641026,71.87809481124138,UAE,2025-02
78.78459561527754,13.530535453869145,52.265233434151696,105.30395779640338,UAE,2025-03
70.12423398828028,13.568648925673369,43.53017077509239,96.71829720146818,UAE,2025-04
61.29931472445847,13.627393204141612,34.59011484117502,88.00851460774192,UAE,2025-05
65.7394167190042,13.676018927084813,38.93491217002985,92.54392126797855,UAE,2025-06
58.98921882457284,13.72964946571719,32.07960035140755,85.89883729773813,UAE,2025-07
66.9938796223088,13.77930776387577,39.98693267321914,94.00082657139845,UAE,2025-08
85.79263425828569,13.833491182347593,58.67948976043199,112.90577875613938,UAE,2025-09
108.97997966640466,13.878880381586887,81.77787397275483,136.1820853600545,UAE,2025-10
137.27081743980997,13.94185169759522,109.94529023472472,164.59634464489523,UAE,2025-11
101.06741547718973,13.966397016146585,73.69378033175474,128.44105062262472,UAE,2025-12
462.7623568880329,54.95895298422541,355.044788410921,570.4799253651448,UK,2025-01
423.68321671271974,55.031641336018296,315.8231816839982,531.5432517414413,UK,2025-02
500.4828441915851,55.29424236772485,392.10812059841567,608.8575677847546,UK,2025-03
443.2769447178198,55.53502333346217,334.43029910364237,552.1235903319972,UK,2025-04
419.00790154480313,55.77696526908363,309.68705845045776,528.3287446391485,UK,2025-05
461.86333453619466,56.01762654824901,352.0708040022118,571.6558650701775,UK,2025-06
448.3577199211143,56.2572844976802,338.09546843763763,558.6199714045911,UK,2025-07
425.31703694256004,56.495914262592784,314.5870797142154,536.0469941709047,UK,2025-08
480.6407403443197,56.73362290708768,369.4448827339512,591.8365979546882,UK,2025-09
664.955286846302,56.969574730411324,553.2969721601327,776.6136015324713,UK,2025-10
753.8985655401309,57.21165874724736,641.7657748997301,866.0313561805317,UK,2025-11
663.9584513375739,57.38624583973728,551.4834762837273,776.4334263914205,UK,2025-12
944.1670823284994,130.97818544837338,687.4545560892793,1200.8796085677195,USA,2025-01
938.5610597142207,131.35529592042613,681.1094105315844,1196.012708896857,USA,2025-02
1123.8369908658667,131.48380856643763,866.1334615254899,1381.5405202062434,USA,2025-03
1012.8215015409689,131.52779152379986,755.0317671882286,1270.6112358937094,USA,2025-04
1004.4695049318964,131.5428276857691,746.6503002432306,1262.2887096205623,USA,2025-05
1067.9414349342842,131.54784656564487,810.1123934218192,1325.7704764467492,USA,2025-06
970.5500307780427,131.54915268563266,712.7184293174421,1228.3816322386433,USA,2025-07
954.8707672578096,131.5483793928548,697.0406814232031,1212.700853092416,USA,2025-08
1027.1004517089343,131.5445463654933,769.2778784699083,1284.9230249479604,USA,2025-09
1549.7366272823856,131.53282839236653,1291.9370208486598,1807.5362337161114,USA,2025-10
1628.1525837577594,131.49848149854023,1370.4202959989138,1885.884871516605,USA,2025-11
1428.9792936156803,131.3981995611356,1171.4435548424476,1686.515032388913,USA,2025-12
526.9544367763174,61.31478331007076,406.77966976870107,647.1292037839337,Vietnam,2025-01
490.2973008810704,62.774750801147825,367.26105017234374,613.333551589797,Vietnam,2025-02
293.2545016178069,63.56360530490952,168.67212449266512,417.83687874294867,Vietnam,2025-03
285.23926736025015,64.1093998996663,159.58715248642847,410.89138223407184,Vietnam,2025-04
321.3331576164238,64.56242818999469,194.79312360958073,447.8731916232669,Vietnam,2025-05
52.73258643316174,64.97806354607964,-74.62207790230934,180.08725076863283,Vietnam,2025-06
238.0869991754827,65.37634370114402,109.95172008032839,366.22227827063705,Vietnam,2025-07
273.9280595736277,65.76246220069721,145.0360021255845,402.8201170216709,Vietnam,2025-08
423.41214650187294,66.13202514890628,293.79575898531954,553.0285340184264,Vietnam,2025-09
389.86712455438357,66.46679340586596,259.59460331102196,520.1396457977452,Vietnam,2025-10
430.7317463864747,66.71648536838862,299.9698378893395,561.4936548836099,Vietnam,2025-11
455.81288289797175,66.74585168347409,324.9934174809104,586.6323483150331,Vietnam,2025-12
